2018-05-18 10:12:59.485 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:15:29.207 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
2018-05-18 10:15:29.217 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:15:29.240 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:16:06.121 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
2018-05-18 10:16:06.125 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:16:06.143 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:16:26.195 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
2018-05-18 10:16:26.195 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:16:26.219 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:21:58.304 | Error | No se puede desactivar una tarjeta configurada para el pago de un servicio. Primero debes migrar los servicios a otra tarjeta.
2018-05-18 10:25:22.021 | Error | ServicePostNotification - NotifyExternalSourcePostWithSignature - Exception - HttpStatusCode: , Url 
2018-05-18 10:25:22.021 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 10:25:22.046 | Error | Se proporcionó un URI de solicitud no válido. El URI de solicitud debe ser un URI absoluto o debe establecerse BaseAddress.
2018-05-18 14:08:25.225 | Error | El usuario indicado no existe.
2018-05-21 16:30:46.953 | Error | El usuario indicado no existe.
2018-05-21 16:30:53.546 | Error | El usuario indicado no existe.
2018-05-21 16:31:26.641 | Error | El usuario indicado no existe.
2018-05-21 17:09:34.511 | Error | Banred - Exception
2018-05-21 17:09:34.530 | Error | Banred - Exception
2018-05-21 17:09:34.530 | Error | El valor no puede ser nulo.
Nombre del parámetro: value
2018-05-21 17:09:34.530 | Error | El valor no puede ser nulo.
Nombre del parámetro: value
2018-05-21 17:09:34.570 | Error | ERROR EN BANRED | LogTraceId: 24d8da7b-8b9d-4e62-91d1-21e51d80f651
2018-05-21 17:09:34.570 | Error | ERROR EN BANRED | LogTraceId: 24d8da7b-8b9d-4e62-91d1-21e51d80f651
2018-05-21 17:32:05.153 | Error | Banred - Exception
2018-05-21 17:32:05.159 | Error | El valor no puede ser nulo.
Nombre del parámetro: value
2018-05-21 17:32:05.181 | Error | ERROR EN BANRED | LogTraceId: d79ae6b0-5920-408b-9d0d-96fee0a999af
2018-05-21 17:32:08.426 | Error | Banred - Exception
2018-05-21 17:32:08.426 | Error | El valor no puede ser nulo.
Nombre del parámetro: value
2018-05-21 17:32:08.475 | Error | ERROR EN BANRED | LogTraceId: d79ae6b0-5920-408b-9d0d-96fee0a999af
2018-05-21 17:32:08.475 | Error | ERROR EN BANRED
2018-05-21 17:32:32.960 | Error | ERROR EN BANRED
2018-05-21 17:32:33.284 | Error | Banred - Exception
2018-05-21 17:32:33.320 | Error | El valor no puede ser nulo.
Nombre del parámetro: value
2018-05-21 17:32:33.338 | Error | ERROR EN BANRED | LogTraceId: d79ae6b0-5920-408b-9d0d-96fee0a999af
2018-05-21 17:32:35.293 | Error | Banred - FaultException
2018-05-21 17:32:35.311 | Error | Banred - Exception
2018-05-21 17:32:35.340 | Error | Bad Request
2018-05-21 17:32:35.365 | Error | El valor no puede ser nulo.
Nombre del parámetro: value
2018-05-21 17:32:35.341 | Error | ERROR EN BANRED
2018-05-21 17:32:35.411 | Error | Error fault Banred | LogTraceId: d79ae6b0-5920-408b-9d0d-96fee0a999af
2018-05-21 17:32:35.440 | Error | ERROR EN BANRED | LogTraceId: d79ae6b0-5920-408b-9d0d-96fee0a999af
2018-05-21 17:32:37.017 | Error | Error fault Banred
2018-05-21 17:32:37.017 | Error | ERROR EN BANRED
2018-05-21 17:58:06.916 | Error | Operación cancelada.
2018-05-21 17:58:06.916 | Error | Operación cancelada.
2018-05-21 17:58:06.932 | Error | Operación cancelada.
2018-05-21 17:58:06.938 | Error | Operación cancelada.
2018-05-21 17:58:07.030 | Error | Operación cancelada.
2018-05-21 17:58:07.030 | Error | Operación cancelada.
2018-05-21 17:58:07.030 | Error | Operación cancelada.
2018-05-21 17:58:07.059 | Error | Operación cancelada.
2018-05-21 17:58:07.075 | Error | Operación cancelada.
2018-05-21 17:58:07.092 | Error | Operación cancelada.
2018-05-21 17:58:07.092 | Error | Operación cancelada.
2018-05-21 17:58:07.110 | Error | Operación cancelada.
2018-05-21 17:58:07.153 | Error | Operación cancelada.
2018-05-21 17:58:07.153 | Error | Operación cancelada.
2018-05-21 17:58:07.180 | Error | Operación cancelada.
2018-05-21 17:58:07.180 | Error | Operación cancelada.
2018-05-21 17:58:07.197 | Error | Operación cancelada.
2018-05-21 17:58:07.239 | Error | Operación cancelada.
2018-05-21 17:58:07.239 | Error | Operación cancelada.
2018-05-21 17:58:07.254 | Error | Operación cancelada.
2018-05-21 17:58:07.264 | Error | Operación cancelada.
2018-05-21 17:58:07.293 | Error | Operación cancelada.
2018-05-21 17:58:07.406 | Error | Operación cancelada.
2018-05-21 17:58:07.436 | Error | Operación cancelada.
2018-05-21 17:58:07.629 | Error | Operación cancelada.
2018-05-21 17:58:07.629 | Error | Operación cancelada.
2018-05-21 17:58:08.279 | Error | Operación cancelada.
2018-05-21 17:58:08.279 | Error | Operación cancelada.
2018-05-21 17:58:08.281 | Error | Operación cancelada.
2018-05-21 17:58:08.279 | Error | Operación cancelada.
2018-05-21 17:58:08.667 | Error | Operación cancelada.
2018-05-21 17:58:08.801 | Error | Operación cancelada.
2018-05-21 17:58:08.856 | Error | Operación cancelada.
2018-05-21 17:58:08.856 | Error | Operación cancelada.
2018-05-21 17:58:09.087 | Error | Operación cancelada.
2018-05-21 17:58:09.958 | Error | Operación cancelada.
2018-05-21 17:58:09.958 | Error | Operación cancelada.
2018-05-21 17:58:09.958 | Error | Operación cancelada.
2018-05-21 17:58:09.958 | Error | Operación cancelada.
2018-05-21 17:58:09.958 | Error | Operación cancelada.
2018-05-21 17:58:09.958 | Error | Operación cancelada.
2018-05-21 17:58:10.111 | Error | Operación cancelada.
2018-05-21 17:58:10.111 | Error | Operación cancelada.
2018-05-21 17:58:10.111 | Error | Operación cancelada.
2018-05-21 17:58:10.111 | Error | Operación cancelada.
2018-05-21 17:58:10.304 | Error | Operación cancelada.
